epoch,train_loss,train_od_loss,train_dc_loss,train_sc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_dc_loss,val_sc_loss,val_label_loss,val_box_loss,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_sten_per_class_acc,val_plaq_per_class_acc,val_od_acc
1,4.084646691626075,2.653435242262348,0.6989162202903443,0.7322952287603106,1.9342237764937897,0.7192114688308731,6.3249749868489165,2.330506713878507,2.6266582415436424,1.367810017277296,1.8186419296689134,0.5118647834579032,0.811849925705795,0.8119892273402675,0.812035661218425,0.34026745913818723,"[1.0, 0.003517748640869843, 0.0]","[1.0, 0.0, 0.005639097744360902, 0.0]",0.3447251114413076
2,3.9931117342311446,2.3958664777357193,0.959565438772157,0.6376798110724674,1.8602338899768847,0.5356325906738217,6.655933066008706,2.2812915371858047,3.0136875603956,1.3609539433119913,1.762897191840039,0.5183943537470141,0.8306092124814265,0.8524331352154532,0.8436106983655275,0.5156017830609212,"[0.9891851682307164, 0.34250079948832746, 0.0]","[0.9891851682307164, 0.0, 0.41400375939849626, 0.0]",0.4962852897473997
3,4.217764162916248,2.258838032188136,1.3581273584168847,0.600798770745869,1.7292821011742798,0.5295559311006744,6.6714910272320935,2.2693727423246255,3.0424252469037336,1.3596930298677892,1.7522826926998285,0.517090046485383,0.8326987369985142,0.8561478454680534,0.8475575780089153,0.537890044576523,"[0.985866330968185, 0.3866325551646946, 0.0]","[0.985866330968185, 0.0, 0.48120300751879697, 0.0]",0.5676077265973254
4,4.050380554386956,2.2001877581953244,1.264942238138894,0.5852505592550388,1.6811999987737187,0.5189877600740578,6.656546669119543,2.260865690800132,3.030622383253511,1.3650585989570052,1.7449528983509506,0.5159127912332113,0.831212852897474,0.857030089153046,0.8476968796433878,0.5482912332838039,"[0.9779125658045319, 0.43716021746082506, 0.0]","[0.9779125658045319, 0.0, 0.5479323308270677, 0.0]",0.5468053491827637
5,3.993884010608755,2.1742820215258893,1.2444512442196325,0.5751507410182392,1.663280558409327,0.5110014630218516,6.5987372398376465,2.241936642975057,3.003826232621507,1.3529743532752425,1.7467566601246685,0.4951799798878435,0.8346953937592868,0.8585159732540861,0.849739970282318,0.537890044576523,"[0.9883840695811399, 0.38887112248161176, 0.0]","[0.9883840695811399, 0.0, 0.4826127819548872, 0.0]",0.5542347696879644
6,3.982105923364055,2.17808376267384,1.2361476279500514,0.5678745413075417,1.6700573405513992,0.5080264256398935,6.673169431771298,2.2648083052932333,3.0488090734453515,1.3595520530327136,1.7345752086413013,0.5302330982879644,0.8360419762258544,0.862091381872214,0.8520616641901931,0.5542347696879644,"[0.984836346990158, 0.4333226734889671, 0.0]","[0.984836346990158, 0.0, 0.5347744360902256, 0.0010245901639344263]",0.5735512630014858
7,3.9040923688118743,2.145542413890783,1.2008531284807933,0.5576968225242707,1.6433722941194382,0.5021701220470338,6.54015783457091,2.2560284038679534,2.9359700587807493,1.3481593761670483,1.7426409141246217,0.5133874901412856,0.8357633729569094,0.8593517830609212,0.8509008172362555,0.5438335809806835,"[0.9902151522087435, 0.3843939878477774, 0.0]","[0.9902151522087435, 0.0, 0.4793233082706767, 0.0]",0.524517087667162
8,3.877304405058171,2.1359743988246653,1.1904481265294014,0.5508818835819845,1.6200211737883714,0.5159532228290067,6.534190199141686,2.203879031300191,2.9761900130648287,1.354121148409405,1.7275573351262938,0.47632169564329196,0.8340453194650818,0.862184249628529,0.8510865527488856,0.5765230312035661,"[0.9794575417715724, 0.46402302526383116, 0.0]","[0.9794575417715724, 0.0, 0.5695488721804511, 0.0]",0.5913818722139673
9,3.811219099909067,2.101300030759941,1.1634978471997346,0.5464212283292144,1.5977039666567523,0.5035960612171408,6.598062329900724,2.2200481085112256,3.029424433892134,1.348589793157153,1.7272536705085006,0.4927944401251456,0.8384101040118871,0.8639487369985142,0.8567979197622585,0.5913818722139673,"[0.9838063630121309, 0.4486728493763991, 0.010718113612004287]","[0.9838063630121309, 0.0, 0.5469924812030075, 0.09733606557377049]",0.5943536404160475
10,3.8413285087520457,2.0993474682682525,1.2069465414920852,0.5350345023434168,1.6042857054268447,0.4950617651355132,6.615283859943424,2.2198525246243803,3.0478213158842364,1.347610024033385,1.7254609806955037,0.49439155489471615,0.8371563893016345,0.8651095839524517,0.8545226597325408,0.5958395245170877,"[0.9824902723735408, 0.4649824112567956, 0.007502679528403001]","[0.9824902723735408, 0.0, 0.5747180451127819, 0.010245901639344262]",0.612184249628529
11,3.787990089684809,2.0654846941447147,1.1958380901165264,0.526667306714002,1.571669754711648,0.4938149369048155,6.573355189416811,2.2118313298381045,3.017652274593048,1.3438715909991845,1.7341671223456498,0.4776642054142513,0.8398959881129272,0.8643202080237742,0.8575408618127786,0.5809806835066865,"[0.9878118562600138, 0.4291653341861209, 0.00964630225080386]","[0.9878118562600138, 0.0, 0.5267857142857143, 0.0860655737704918]",0.6032689450222882
12,3.7644227140946156,2.0585865711893274,1.180079193217522,0.5257569533275535,1.5691955058340845,0.48939106537365895,6.66218848751985,2.212613067924092,3.0816127504014825,1.3679626829900091,1.7327705929470345,0.47984247254511725,0.8361812778603269,0.8658060921248143,0.8542440564635958,0.612184249628529,"[0.9750514991989013, 0.5091141669331628, 0.015005359056806002]","[0.9750514991989013, 0.0, 0.6306390977443609, 0.015368852459016393]",0.6404160475482912
13,3.7579880512903556,2.035640363302608,1.2054543288524584,0.5168933551962419,1.5486500181973317,0.4869903440463572,6.591048106241651,2.219981400124751,3.0215592971541407,1.3495074202823356,1.7106188747932367,0.5093625251104287,0.8381315007429421,0.8656203566121843,0.856194279346211,0.6047548291233283,"[0.9824330510414282, 0.46881995522865366, 0.007502679528403001]","[0.9824330510414282, 0.0, 0.581296992481203, 0.03381147540983607]",0.6181277860326895
14,3.6865633109289795,2.0087638924314013,1.1660252297244502,0.5117741878187853,1.5151610215468132,0.49360287055310054,6.585898240878957,2.1910163747804456,3.0530442717521056,1.3418375826730926,1.7173584865887017,0.47365788947403964,0.84356426448737,0.8682206537890045,0.8621378157503715,0.6136701337295691,"[0.9855230029755093, 0.4557083466581388, 0.05359056806002144]","[0.9855230029755093, 0.0, 0.5385338345864662, 0.2028688524590164]",0.6359583952451708
15,3.7336084534924496,2.0026281671940565,1.2291261568523437,0.5018541344427003,1.5108576908807592,0.4917704757318785,6.574821900896927,2.205979447336508,3.025613292388463,1.3432291494986424,1.706102344685563,0.49987709984315964,0.8409175334323923,0.8670598068350669,0.8584695393759286,0.6062407132243685,"[0.9860379949645228, 0.44451551007355294, 0.05466237942122187]","[0.9860379949645228, 0.0, 0.5488721804511278, 0.09016393442622951]",0.6300148588410104
16,3.6897619202954033,1.9739642427131892,1.2135334890046405,0.5022641938971618,1.48945748134211,0.4845067623708039,6.603361718378718,2.1992795686693505,3.0511504132245344,1.3529317050022611,1.7124029412113948,0.4868766319680992,0.8388280089153046,0.869102897473997,0.857308692421991,0.6225854383358098,"[0.9772831311512932, 0.5087943716021746, 0.05037513397642015]","[0.9772831311512932, 0.0, 0.6207706766917294, 0.06454918032786885]",0.6433878157503715
17,3.7103976890507897,1.9611366492838174,1.2535901356851524,0.49567090229546956,1.461077093951783,0.5000595564054231,6.587212112607871,2.1899033494802187,3.052148349914777,1.345160414981559,1.7138091824528725,0.47609416517022807,0.84393573551263,0.8692886329866271,0.862462852897474,0.6270430906389302,"[0.9844930189974823, 0.4573073233130796, 0.09217577706323687]","[0.9844930189974823, 0.0, 0.5427631578947368, 0.2192622950819672]",0.62555720653789
18,3.6993271020835654,1.9505259124719996,1.2612811671359474,0.48752002011639944,1.4585889636270575,0.49193694754529976,6.616220863353605,2.207570466514157,3.070627319352917,1.3380230697043218,1.7167036469683095,0.49086681682649635,0.84337852897474,0.8682206537890045,0.861441307578009,0.612184249628529,"[0.9852941176470589, 0.43748001279181326, 0.1189710610932476]","[0.9852941176470589, 0.0, 0.5286654135338346, 0.21311475409836064]",0.6448736998514116
19,3.644595555742771,1.899174579657288,1.2581588239172252,0.4872621551601974,1.4111491694091425,0.4880254093786481,6.671315674258269,2.190343680296878,3.1406389726021877,1.340333009332153,1.7198844391089871,0.4704592420059071,0.8464895988112927,0.8705423476968797,0.8639023031203567,0.6389301634472511,"[0.987182421606775, 0.4115765909817717, 0.2240085744908896]","[0.987182421606775, 0.0, 0.4976503759398496, 0.3012295081967213]",0.6597325408618128
20,3.617091565206121,1.8817794115195776,1.2510987384478947,0.4842134130152474,1.4008411179851783,0.4809382932450054,6.5412199277906105,2.1859163017584238,3.0224461046100015,1.3328575147011867,1.7030807676937885,0.4828355361428388,0.8470932392273403,0.8675241456166419,0.8648774145616642,0.6181277860326895,"[0.9870107576104372, 0.3971858010873041, 0.2057877813504823]","[0.9870107576104372, 0.0, 0.46898496240601506, 0.38831967213114754]",0.637444279346211
