epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_vessel_sten_overall_acc,val_sc_cube_sten_overall_acc,val_sc_cube_plaq_overall_acc,val_sc_cube_joint_overall_acc,val_sc_vessel_sten_overall_acc,val_od_and_sc_vessel_sten_overall_acc,val_od_vessel_sten_macro_precision,val_sc_cube_sten_macro_precision,val_sc_cube_plaq_macro_precision,val_sc_vessel_sten_macro_precision,val_od_and_sc_vessel_sten_macro_precision,val_od_vessel_sten_macro_recall,val_sc_cube_sten_macro_recall,val_sc_cube_plaq_macro_recall,val_sc_vessel_sten_macro_recall,val_od_and_sc_vessel_sten_macro_recall,val_od_vessel_sten_macro_f1,val_sc_cube_sten_macro_f1,val_sc_cube_plaq_macro_f1,val_sc_vessel_sten_macro_f1,val_od_and_sc_vessel_sten_macro_f1,val_od_vessel_sten_per_class_recall,val_sc_cube_sten_per_class_recall,val_sc_cube_plaq_per_class_recall,val_sc_vessel_sten_per_class_recall,val_od_and_sc_vessel_sten_per_class_recall,val_sc_cube_joint_per_class_recall,val_sc_cube_joint_macro_precision,val_sc_cube_joint_macro_recall,val_sc_cube_joint_macro_f1
1,7.005590269121073,2.920601791917941,1.482002446122762,2.6029860329324914,2.0351259473100893,0.8854758466046704,8.072213399304127,2.6402613044846306,1.6228842859098396,3.8090678350861773,1.9220970101455552,0.7181642927472599,0.18573551263001487,0.7986162704309064,0.8268016344725111,0.7850575780089153,0.3462109955423477,0.18573551263001487,0.06191183754333829,0.36879020999742457,0.3221358747849832,0.2911645251809187,0.06191183754333829,0.3333333333333333,0.5508327775301843,0.3866046017174283,0.48070796460176995,0.3333333333333333,0.10442773600668337,0.41061754758491675,0.3475874420655952,0.31647105363779376,0.10442773600668337,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.9354145458658523), np.float64(0.0), np.float64(0.7170837867247007)]","[np.float64(0.9354145458658523), np.float64(0.0), np.float64(0.611003861003861), np.float64(0.0)]","[np.float64(0.5221238938053098), np.float64(0.0), np.float64(0.92)]","[np.float64(0.0), np.float64(0.0), np.float64(1.0)]","[np.float64(0.9354145458658523), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7030651340996169), np.float64(0.0)]",0.14553365371009502,0.23406852570935271,0.15889420376740412
2,6.2545569016266676,2.6605026145270987,1.289400525822562,2.304653763392214,1.972945037324213,0.6875575772975966,7.791945896092083,2.5267454116917505,1.5806649930399321,3.684535482870719,1.8539865752709725,0.6727588413288756,0.41901931649331353,0.8204401931649331,0.8456073551263001,0.8072994056463596,0.4472511144130758,0.4160475482912333,0.2709427831379051,0.3816528178803696,0.33601918725303986,0.303386777689196,0.2993771698205467,0.5136519174041299,0.558317565919033,0.3849810427156033,0.57623598820059,0.5452625368731564,0.35448814272153384,0.4307224723155749,0.3579375921458158,0.38700980392156864,0.36692269712563813,"[np.float64(0.8849557522123894), np.float64(0.0), np.float64(0.656)]","[np.float64(0.9622214681597104), np.float64(0.0), np.float64(0.7127312295973884)]","[np.float64(0.9622214681597104), np.float64(0.0), np.float64(0.5777027027027027), np.float64(0.0)]","[np.float64(0.8407079646017699), np.float64(0.0), np.float64(0.888)]","[np.float64(0.7477876106194691), np.float64(0.0), np.float64(0.888)]","[np.float64(0.9622214681597104), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.7126436781609196), np.float64(0.0)]",0.1487129689729767,0.2392664494743757,0.16596037666157473
3,5.917222158257234,2.566843913268235,1.199533194892824,2.150845049969894,1.88625629465122,0.6805876189274556,7.316191397364133,2.4609456557548364,1.5460206171171602,3.309225131920608,1.8024409931562067,0.6585046642346623,0.4576523031203566,0.8244799405646359,0.8457002228826151,0.8118963595839525,0.48588410104011887,0.4814264487369985,0.30814512162826774,0.7192479644184503,0.3368475347864032,0.6451045671204215,0.6423537901606425,0.5543834808259587,0.5540873246900787,0.3746771032994311,0.6013474779677165,0.5973624287729713,0.3919382229485085,0.4383694415553232,0.3546119624364429,0.415967961486645,0.4106923293165809,"[np.float64(0.9911504424778761), np.float64(0.0), np.float64(0.672)]","[np.float64(0.9678203823096935), np.float64(0.002385008517887564), np.float64(0.6920565832426551)]","[np.float64(0.9678203823096935), np.float64(0.0), np.float64(0.5308880308880309), np.float64(0.0)]","[np.float64(0.9867256637168141), np.float64(0.009316770186335404), np.float64(0.808)]","[np.float64(0.9778761061946902), np.float64(0.006211180124223602), np.float64(0.808)]","[np.float64(0.9678203823096935), np.float64(0.0), np.float64(0.0032258064516129032), np.float64(0.0), np.float64(0.0), np.float64(0.7030651340996169), np.float64(0.0)]",0.25161857415195704,0.23915876040870332,0.1693717687158501
4,5.726442332616297,2.488057113541974,1.1542618214284297,2.084123396940824,1.805445573792535,0.682611540693916,7.746023654937744,2.5253113437477133,1.5682062996601138,3.652506030985439,1.8187819963392942,0.7065293498845765,0.43684992570579495,0.7979197622585439,0.8274517087667161,0.7832002228826151,0.48588410104011887,0.4294205052005943,0.3155287523024484,0.5969036447932201,0.5769352133450791,0.6080385941497053,0.6554503427387215,0.5706784660766963,0.5788683807105005,0.4036823272926338,0.6072361164550468,0.5648078565015848,0.38558485638689827,0.42941922791785064,0.3556875138111706,0.4330383079421889,0.38604640250591277,"[np.float64(0.7920353982300885), np.float64(0.0), np.float64(0.92)]","[np.float64(0.9273272254269879), np.float64(0.021465076660988076), np.float64(0.7878128400435256)]","[np.float64(0.9273272254269879), np.float64(0.0), np.float64(0.6862934362934363), np.float64(0.0011086474501108647)]","[np.float64(0.8982300884955752), np.float64(0.043478260869565216), np.float64(0.88)]","[np.float64(0.7522123893805309), np.float64(0.006211180124223602), np.float64(0.936)]","[np.float64(0.9273272254269879), np.float64(0.0), np.float64(0.025806451612903226), np.float64(0.0), np.float64(0.0), np.float64(0.8218390804597702), np.float64(0.0036231884057971015)]",0.3517951455777559,0.2540851351293512,0.16984822224220714
5,5.664121934733654,2.4557351556390863,1.1290684784683636,2.079318295932759,1.775414456429202,0.6803206996176665,7.320401749200566,2.4217994669424674,1.538350578585435,3.3602516835096683,1.7733413851225766,0.6484580787910198,0.4799405646359584,0.8371563893016345,0.8482076523031203,0.819418647845468,0.5319465081723626,0.524517087667162,0.59711280297179,0.6280606347010095,0.3394226652267609,0.5843822843822845,0.5980949666641132,0.5838426501035197,0.5567723840556584,0.37512103849692924,0.6105979955660602,0.6217367119221678,0.4191911790756464,0.5000678224625551,0.35631455113900345,0.5000374990084916,0.48284484277529094,"[np.float64(1.0), np.float64(0.015527950310559006), np.float64(0.736)]","[np.float64(0.9710439995475625), np.float64(0.10732538330494037), np.float64(0.5919477693144722)]","[np.float64(0.9710439995475625), np.float64(0.0), np.float64(0.5294401544401545), np.float64(0.0)]","[np.float64(0.9867256637168141), np.float64(0.14906832298136646), np.float64(0.696)]","[np.float64(0.9867256637168141), np.float64(0.10248447204968944), np.float64(0.776)]","[np.float64(0.9710439995475625), np.float64(0.0), np.float64(0.11483870967741935), np.float64(0.0), np.float64(0.0), np.float64(0.5727969348659003), np.float64(0.0)]",0.2071613929350276,0.23695423487012604,0.19346478768996977
6,5.5111288800414675,2.3716958801519903,1.09594665547454,2.0434863393084477,1.722499624410339,0.6491962551418166,7.402699399772667,2.4509900960441158,1.5378934127286916,3.4138158754354415,1.7580320025056335,0.6929580948649953,0.4814264487369985,0.8047455423476969,0.8271266716196136,0.788261515601783,0.5200594353640416,0.5141158989598811,0.5356573387546839,0.5844762314071724,0.5390440417143322,0.5597906081999572,0.5668601440718161,0.5949789479470126,0.5790397396910338,0.4057286386905905,0.6159927444621558,0.621201048022133,0.41402729940043376,0.4669189340088922,0.3684739209285796,0.47997061807334324,0.4680733201025582,"[np.float64(0.9867256637168141), np.float64(0.006211180124223602), np.float64(0.792)]","[np.float64(0.9281189910643592), np.float64(0.08756388415672912), np.float64(0.721436343852013)]","[np.float64(0.9281189910643592), np.float64(0.0), np.float64(0.6626447876447876), np.float64(0.03215077605321508)]","[np.float64(0.9601769911504425), np.float64(0.11180124223602485), np.float64(0.776)]","[np.float64(0.9557522123893806), np.float64(0.08385093167701864), np.float64(0.824)]","[np.float64(0.9281189910643592), np.float64(0.0), np.float64(0.1), np.float64(0.0), np.float64(0.0), np.float64(0.7413793103448276), np.float64(0.08333333333333333)]",0.29903841074598325,0.26469023353464577,0.2057583959187403
7,5.506688816104568,2.3625466706767932,1.0809569510704926,2.063185195601677,1.6996745655344705,0.6628721068707942,7.271800161469231,2.3735992696235724,1.5373453230815401,3.3608555645192766,1.7573563284973008,0.6162429447078563,0.4903417533432392,0.8144502228826151,0.8380386329866271,0.7980126300148589,0.5334323922734027,0.5274888558692422,0.5545787696817445,0.6011201718868451,0.5243245809108,0.5970012423424582,0.5948261194159418,0.5991189285256234,0.5896961919366985,0.4089339738128916,0.6346586049579508,0.6317095586214477,0.4313495220004799,0.470906616732568,0.37027962673458514,0.49511137687408163,0.48661604419358984,"[np.float64(0.9823008849557522), np.float64(0.031055900621118012), np.float64(0.784)]","[np.float64(0.940391358443615), np.float64(0.07461669505962522), np.float64(0.7540805223068553)]","[np.float64(0.940391358443615), np.float64(0.0), np.float64(0.6776061776061776), np.float64(0.017738359201773836)]","[np.float64(0.9557522123893806), np.float64(0.12422360248447205), np.float64(0.824)]","[np.float64(0.9513274336283186), np.float64(0.11180124223602485), np.float64(0.832)]","[np.float64(0.940391358443615), np.float64(0.0), np.float64(0.08967741935483871), np.float64(0.0), np.float64(0.0), np.float64(0.7758620689655172), np.float64(0.050724637681159424)]",0.3049791888177998,0.2652364977778758,0.19985618024951848
8,5.365221209929319,2.309935150615408,1.059577568323683,1.995708486580916,1.6661425026628258,0.6437926468134221,7.425816146839266,2.40007743814225,1.53581156539634,3.4899271348109937,1.7512710281932389,0.6488064060579067,0.5022288261515602,0.8198365527488856,0.8400817236255572,0.8007057949479941,0.5601783060921248,0.5572065378900446,0.6111217901005286,0.5886528086514408,0.543690549930149,0.591147971515617,0.5946916525338201,0.6005623408270581,0.6014480458865901,0.4230249440948415,0.6473908279741293,0.6502148445372762,0.45105361429714597,0.5042432025606476,0.3836233389883736,0.536774375935502,0.5320338339954934,"[np.float64(0.995575221238938), np.float64(0.062111801242236024), np.float64(0.744)]","[np.float64(0.9372242958941296), np.float64(0.1424190800681431), np.float64(0.7247007616974973)]","[np.float64(0.9372242958941296), np.float64(0.0), np.float64(0.7171814671814671), np.float64(0.037694013303769404)]","[np.float64(0.9292035398230089), np.float64(0.20496894409937888), np.float64(0.808)]","[np.float64(0.9292035398230089), np.float64(0.18944099378881987), np.float64(0.832)]","[np.float64(0.9372242958941296), np.float64(0.0), np.float64(0.17096774193548386), np.float64(0.0), np.float64(0.0), np.float64(0.7337164750957854), np.float64(0.08695652173913043)]",0.29003467385727927,0.2755521478092185,0.22102575676480488
9,5.387959937023073,2.2908056581729634,1.0401111988529648,2.057043075298438,1.6458355973679888,0.6449700627649614,7.418893599014962,2.390065245175574,1.5279187912049563,3.50090954636254,1.7601453104783236,0.6299199397379991,0.5527488855869243,0.8222511144130757,0.8388744427934621,0.8024702823179792,0.5765230312035661,0.5839524517087668,0.5745985282930782,0.5746061407706582,0.5239243469476528,0.5907100228190276,0.5969897618816301,0.6163662214404808,0.6063698842511723,0.43373467407597815,0.6436550321552245,0.6528459663973323,0.5291532238149813,0.5239473184834768,0.40476528742974743,0.5590665663159449,0.5684767880101109,"[np.float64(0.9646017699115044), np.float64(0.2204968944099379), np.float64(0.664)]","[np.float64(0.933944123967877), np.float64(0.1887563884156729), np.float64(0.6964091403699674)]","[np.float64(0.933944123967877), np.float64(0.0), np.float64(0.708976833976834), np.float64(0.09201773835920177)]","[np.float64(0.9247787610619469), np.float64(0.2701863354037267), np.float64(0.736)]","[np.float64(0.915929203539823), np.float64(0.2826086956521739), np.float64(0.76)]","[np.float64(0.933944123967877), np.float64(0.0), np.float64(0.2270967741935484), np.float64(0.0), np.float64(0.0), np.float64(0.685823754789272), np.float64(0.21014492753623187)]",0.27870579384000044,0.29385851149813275,0.2488928636393028
10,5.314317442350468,2.2746870614440935,1.02850136503914,2.011129010673928,1.6455853020425064,0.6291017604434053,7.23602124703744,2.356093753339275,1.5206245183944702,3.359302983439641,1.7445988039588363,0.6114949519892474,0.5230312035661219,0.8320950965824666,0.8510401188707281,0.8160289747399703,0.5557206537890045,0.5572065378900446,0.5773033681382138,0.6143218773186625,0.5212913646989596,0.5889577950043067,0.605075015066451,0.6116647062056835,0.5841972647525354,0.430851680893321,0.6279131534106525,0.6423123912127374,0.48528905440514203,0.5086630634084072,0.4296216145507523,0.527069986065284,0.5280235150639999,"[np.float64(0.9778761061946902), np.float64(0.12111801242236025), np.float64(0.736)]","[np.float64(0.9572446555819477), np.float64(0.13049403747870528), np.float64(0.6648531011969532)]","[np.float64(0.9572446555819477), np.float64(0.0), np.float64(0.6076254826254827), np.float64(0.15853658536585366)]","[np.float64(0.9778761061946902), np.float64(0.20186335403726707), np.float64(0.704)]","[np.float64(0.9646017699115044), np.float64(0.18633540372670807), np.float64(0.776)]","[np.float64(0.9572446555819477), np.float64(0.0), np.float64(0.1503225806451613), np.float64(0.003194888178913738), np.float64(0.0), np.float64(0.6264367816091954), np.float64(0.3115942028985507)]",0.36771934472549284,0.2926847298448241,0.25247831072142546
