epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_vessel_sten_overall_acc,val_sc_cube_sten_overall_acc,val_sc_cube_plaq_overall_acc,val_sc_cube_joint_overall_acc,val_sc_vessel_sten_overall_acc,val_od_and_sc_vessel_sten_overall_acc,val_od_vessel_sten_macro_precision,val_sc_cube_sten_macro_precision,val_sc_cube_plaq_macro_precision,val_sc_vessel_sten_macro_precision,val_od_and_sc_vessel_sten_macro_precision,val_od_vessel_sten_macro_recall,val_sc_cube_sten_macro_recall,val_sc_cube_plaq_macro_recall,val_sc_vessel_sten_macro_recall,val_od_and_sc_vessel_sten_macro_recall,val_od_vessel_sten_macro_f1,val_sc_cube_sten_macro_f1,val_sc_cube_plaq_macro_f1,val_sc_vessel_sten_macro_f1,val_od_and_sc_vessel_sten_macro_f1,val_od_vessel_sten_per_class_recall,val_sc_cube_sten_per_class_recall,val_sc_cube_plaq_per_class_recall,val_sc_vessel_sten_per_class_recall,val_od_and_sc_vessel_sten_per_class_recall,val_sc_cube_joint_per_class_recall,val_sc_cube_joint_macro_precision,val_sc_cube_joint_macro_recall,val_sc_cube_joint_macro_f1
1,6.733767027824612,2.6470509681240313,1.3995567878213642,1.2876024797222034,1.765041957635664,0.8820090118985054,7.652047833632291,2.4665362643912565,1.6526368308138069,1.8802379076134204,1.8309997344936744,0.6355365307377071,0.4888558692421991,0.8471396731054978,0.836924219910847,0.8227154531946508,0.563150074294205,0.5408618127786032,0.3239554231079655,0.6305367620481225,0.47495434484082066,0.7104918992777668,0.7089576459133445,0.39466644680188345,0.45976046514268454,0.3622290853512973,0.45540570549112297,0.4170118177320948,0.3555723523977492,0.461573081115531,0.34626444113114946,0.4191338866597627,0.3809412999211614,"[np.float64(0.5442477876106194), np.float64(0.639751552795031), np.float64(0.0)]","[np.float64(0.9630697884854654), np.float64(0.41294718909710393), np.float64(0.003264417845484222)]","[np.float64(0.9630697884854654), np.float64(0.0), np.float64(0.47586872586872586), np.float64(0.009977827050997782)]","[np.float64(0.6017699115044248), np.float64(0.7484472049689441), np.float64(0.016)]","[np.float64(0.37168141592920356), np.float64(0.8633540372670807), np.float64(0.016)]","[np.float64(0.9630697884854654), np.float64(0.0), np.float64(0.44387096774193546), np.float64(0.001597444089456869), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.18391868139924883,0.20121974290240824,0.18230028642942936
2,6.147612708857504,2.3793960546201234,1.2689677680195388,1.2302811164303689,1.7183506611713582,0.6610453877345486,7.620318617948085,2.434933112353882,1.6466799178533809,1.8920256656425998,1.8123698910195325,0.622563216779989,0.5022288261515602,0.8416604754829123,0.8289375928677564,0.8105962109955424,0.6389301634472511,0.5438335809806835,0.3639254385964912,0.6636434622994635,0.4677867289169277,0.7287802933682667,0.729348791962222,0.3670459334176148,0.5167888621666039,0.41162740207371173,0.5442205243775078,0.4295976840909507,0.3036839966005247,0.5160502553619701,0.38008823161981714,0.5525400413236735,0.40143458758705486,"[np.float64(0.17256637168141592), np.float64(0.9285714285714286), np.float64(0.0)]","[np.float64(0.9296459676507183), np.float64(0.5543441226575809), np.float64(0.06637649619151251)]","[np.float64(0.9296459676507183), np.float64(0.0), np.float64(0.6558880308880309), np.float64(0.06097560975609756)]","[np.float64(0.6194690265486725), np.float64(0.8291925465838509), np.float64(0.184)]","[np.float64(0.13274336283185842), np.float64(0.9720496894409938), np.float64(0.184)]","[np.float64(0.9296459676507183), np.float64(0.0), np.float64(0.6341935483870967), np.float64(0.0), np.float64(0.0), np.float64(0.0038314176245210726), np.float64(0.12318840579710146)]",0.3163392856644162,0.2415513342084911,0.2145703684809246
3,5.907940239556091,2.3206222845757076,1.2001000995205788,1.187117759496142,1.6640319321199326,0.6565903517086122,7.504668179180927,2.437093740400999,1.6167199756695891,1.8341344860258018,1.7855372308623543,0.6515565108651578,0.5215453194650818,0.8575408618127786,0.8517366270430906,0.8315843239227341,0.6478454680534919,0.6508172362555721,0.35355648535564854,0.6217462989470484,0.5203135825761293,0.6896778235912362,0.69229168112121,0.458775353157808,0.5074074729282655,0.42190374409321746,0.572545631103538,0.5724173766466956,0.3784313725490196,0.5205518027516176,0.4120137089654101,0.5611024154864331,0.5635818172932705,"[np.float64(0.9601769911504425), np.float64(0.4161490683229814), np.float64(0.0)]","[np.float64(0.9588847415450741), np.float64(0.4936967632027257), np.float64(0.06964091403699674)]","[np.float64(0.9588847415450741), np.float64(0.0), np.float64(0.6245173745173745), np.float64(0.10421286031042129)]","[np.float64(0.8584070796460177), np.float64(0.6832298136645962), np.float64(0.176)]","[np.float64(0.8362831858407079), np.float64(0.7049689440993789), np.float64(0.176)]","[np.float64(0.9588847415450741), np.float64(0.0), np.float64(0.572258064516129), np.float64(0.052715654952076675), np.float64(0.0), np.float64(0.06321839080459771), np.float64(0.0036231884057971015)]",0.27209155685452097,0.23581429146052496,0.2215514427253842
4,5.766819585598795,2.2666897575481464,1.1705540767686684,1.159021673439923,1.6226731006287585,0.6440166549330925,7.471974310606099,2.3966689972919952,1.611088931383648,1.853127449131861,1.7815193128868805,0.6151496862622327,0.512630014858841,0.8516437592867756,0.8446322436849926,0.8228083209509658,0.6686478454680534,0.6686478454680534,0.34991430587760863,0.6834896309914983,0.5235526167734907,0.7300955043093408,0.7300955043093408,0.45520255043148466,0.533041861137837,0.4532318690047819,0.58696832114916,0.58696832114916,0.36892369608962855,0.5426967208258758,0.4422410356316237,0.5882027024067626,0.5882027024067626,"[np.float64(0.9867256637168141), np.float64(0.37888198757763975), np.float64(0.0)]","[np.float64(0.9394299287410927), np.float64(0.5574105621805792), np.float64(0.10228509249183895)]","[np.float64(0.9394299287410927), np.float64(0.0), np.float64(0.6761583011583011), np.float64(0.1973392461197339)]","[np.float64(0.7920353982300885), np.float64(0.7608695652173914), np.float64(0.208)]","[np.float64(0.7920353982300885), np.float64(0.7608695652173914), np.float64(0.208)]","[np.float64(0.9394299287410927), np.float64(0.0), np.float64(0.6529032258064517), np.float64(0.04313099041533546), np.float64(0.0), np.float64(0.0038314176245210726), np.float64(0.2463768115942029)]",0.31613725173393536,0.2693817677402291,0.2518967839199694
5,5.670671836004756,2.2314161636293104,1.1490531566547557,1.1411493616967887,1.600533781888879,0.630882380714398,7.483397570137454,2.4338945868460997,1.601719269766652,1.8460644377445254,1.7844452012540324,0.649449381104032,0.5720653789004457,0.8581909361069836,0.8513187221396731,0.830191307578009,0.6597325408618128,0.6656760772659732,0.38145004420866496,0.6589453309598766,0.5294795422922656,0.6897464103730778,0.6946469987201516,0.4856171787683908,0.5559520873857848,0.4444380921953195,0.6049869730115979,0.6020920867000129,0.4226493402050382,0.5843516101994123,0.43674084470447416,0.6049302669136,0.609648078115867,"[np.float64(0.8761061946902655), np.float64(0.5807453416149069), np.float64(0.0)]","[np.float64(0.9510801945481281), np.float64(0.4991482112436116), np.float64(0.2176278563656148)]","[np.float64(0.9510801945481281), np.float64(0.0), np.float64(0.6592664092664092), np.float64(0.1674057649667406)]","[np.float64(0.8716814159292036), np.float64(0.65527950310559), np.float64(0.288)]","[np.float64(0.8008849557522124), np.float64(0.717391304347826), np.float64(0.288)]","[np.float64(0.9510801945481281), np.float64(0.0), np.float64(0.5916129032258064), np.float64(0.019169329073482427), np.float64(0.0), np.float64(0.09578544061302682), np.float64(0.3007246376811594)]",0.3329170454374865,0.27976750073451473,0.272142211694356
6,5.622492773889822,2.2260863432124003,1.1253645203134182,1.1456773861990137,1.5846798792586656,0.6414064642010351,7.3767511200834095,2.378196614078669,1.593339619013959,1.8118752746978217,1.756995236838253,0.6212013744547389,0.5586924219910847,0.856751485884101,0.8501578751857355,0.8287054234769688,0.6716196136701337,0.6775631500742942,0.3744693162783615,0.668066730939891,0.5059034226342953,0.6877852105788071,0.6923648225662912,0.48465527034207295,0.5623523078594932,0.4714497723195075,0.6138931090712545,0.6175941662544202,0.4093920456985784,0.5879804545137796,0.46763208910801357,0.617694430144441,0.622424623266357,"[np.float64(0.9601769911504425), np.float64(0.4937888198757764), np.float64(0.0)]","[np.float64(0.9448591788259246), np.float64(0.5267461669505963), np.float64(0.21545157780195864)]","[np.float64(0.9448591788259246), np.float64(0.0), np.float64(0.6438223938223938), np.float64(0.29711751662971175)]","[np.float64(0.8451327433628318), np.float64(0.6925465838509317), np.float64(0.304)]","[np.float64(0.8407079646017699), np.float64(0.7080745341614907), np.float64(0.304)]","[np.float64(0.9448591788259246), np.float64(0.0), np.float64(0.6296774193548387), np.float64(0.04952076677316294), np.float64(0.0), np.float64(0.005747126436781609), np.float64(0.47101449275362317)]",0.3243420592550174,0.30011699773490447,0.2704003350217984
7,5.578570016065223,2.2152033483998923,1.102817420011102,1.157731818108909,1.585571264795496,0.6296320830992723,7.393322554115725,2.4004536492180755,1.5902664265222295,1.812336034166353,1.7658313813478375,0.634622272026645,0.5646359583952452,0.8596303863298663,0.857215824665676,0.8351597325408618,0.6612184249628529,0.6671619613670133,0.3776117163350439,0.6691750627962985,0.5139314633634198,0.6922700173954164,0.6957491057862949,0.4865974092599718,0.549908396469211,0.48500412504887913,0.6042058667252973,0.6052685465105626,0.41508097491870316,0.5793768227210109,0.48884893754001035,0.5990319022803098,0.6040597650660544,"[np.float64(0.9380530973451328), np.float64(0.5217391304347826), np.float64(0.0)]","[np.float64(0.9539644836556951), np.float64(0.4988074957410562), np.float64(0.1969532100108814)]","[np.float64(0.9539644836556951), np.float64(0.0), np.float64(0.6013513513513513), np.float64(0.38470066518847007)]","[np.float64(0.9026548672566371), np.float64(0.6459627329192547), np.float64(0.264)]","[np.float64(0.8716814159292036), np.float64(0.6801242236024845), np.float64(0.264)]","[np.float64(0.9539644836556951), np.float64(0.0), np.float64(0.5883870967741935), np.float64(0.13738019169329074), np.float64(0.0), np.float64(0.007662835249042145), np.float64(0.42028985507246375)]",0.3290377571005299,0.3010977803492408,0.2849852792453386
8,5.528002999007365,2.1999936036576155,1.0894508025067,1.1491077967451118,1.571620894027716,0.6283727120555475,7.393525577794197,2.4525704447522716,1.5765780960416935,1.7877989345912764,1.7583235905502954,0.6942468545336045,0.5364041604754829,0.8594446508172363,0.8600482912332839,0.8360884101040119,0.6508172362555721,0.6552748885586924,0.6957347753916382,0.6388657534644341,0.518393590776895,0.6569333536638167,0.6589212529410428,0.475780648234669,0.5821633280142644,0.48512750226874557,0.6372491251213837,0.639475256050862,0.4026310790273557,0.6061063229264259,0.49116013852857665,0.6226987489663736,0.6267746093403788,"[np.float64(0.9778761061946902), np.float64(0.4254658385093168), np.float64(0.024)]","[np.float64(0.9576405384006335), np.float64(0.4221465076660988), np.float64(0.36670293797606096)]","[np.float64(0.9576405384006335), np.float64(0.0), np.float64(0.6003861003861004), np.float64(0.38248337028824836)]","[np.float64(0.9469026548672567), np.float64(0.5248447204968945), np.float64(0.44)]","[np.float64(0.9380530973451328), np.float64(0.5403726708074534), np.float64(0.44)]","[np.float64(0.9576405384006335), np.float64(0.0), np.float64(0.5141935483870967), np.float64(0.07188498402555911), np.float64(0.0), np.float64(0.13984674329501914), np.float64(0.572463768115942)]",0.33411065627550723,0.32228994031775005,0.30203797678225835
9,5.484722932348143,2.1716058660761615,1.0675773661436334,1.1779623342267538,1.5547217261888044,0.6168841392967302,7.54901721144996,2.4315399921966234,1.5945681906595428,1.9283408358118301,1.7782351868088946,0.6533048040612162,0.6062407132243685,0.8339060178306092,0.8293090638930164,0.8048848439821694,0.6701337295690936,0.6344725111441307,0.7451049717969115,0.6141964004563742,0.5050176232055228,0.6758699859978585,0.6598355045784953,0.4949730115978673,0.6205712489751315,0.5457673165926237,0.6210599681196064,0.580824712801627,0.45976517986055504,0.6147931144851447,0.49963484176782424,0.637941466306005,0.6019229409685402,"[np.float64(0.6814159292035398), np.float64(0.7795031055900621), np.float64(0.024)]","[np.float64(0.9030652641103948), np.float64(0.5505962521294719), np.float64(0.40805223068552776)]","[np.float64(0.9030652641103948), np.float64(0.0011363636363636363), np.float64(0.6303088803088803), np.float64(0.6485587583148559)]","[np.float64(0.6814159292035398), np.float64(0.7577639751552795), np.float64(0.424)]","[np.float64(0.5265486725663717), np.float64(0.7919254658385093), np.float64(0.424)]","[np.float64(0.9030652641103948), np.float64(0.0), np.float64(0.6425806451612903), np.float64(0.21565495207667731), np.float64(0.0), np.float64(0.02681992337164751), np.float64(0.8007246376811594)]",0.3163670684747304,0.36983506034302416,0.29965593804599233
10,5.431925862859198,2.154811985432933,1.0583400029194472,1.1604338748706768,1.5359509423333035,0.6188610418710205,7.442869828787331,2.3728894189840255,1.5987471918677718,1.872486033496234,1.7610929153793289,0.6117965117185336,0.5943536404160475,0.8413818722139673,0.8335809806835067,0.8100854383358098,0.6716196136701337,0.6716196136701337,0.7295010022654758,0.6340504029131452,0.5418172546654405,0.6728855827923098,0.6741264739108596,0.5080533538540465,0.5807207090970631,0.47534449001231055,0.6143902233459756,0.612191575514392,0.4431302402354354,0.5905753537001568,0.4533449399991514,0.6220676298123166,0.6219620142820003,"[np.float64(0.9292035398230089), np.float64(0.5869565217391305), np.float64(0.008)]","[np.float64(0.9163556158805565), np.float64(0.5744463373083475), np.float64(0.2513601741022851)]","[np.float64(0.9163556158805565), np.float64(0.0022727272727272726), np.float64(0.7355212355212355), np.float64(0.24722838137472283)]","[np.float64(0.8008849557522124), np.float64(0.7142857142857143), np.float64(0.328)]","[np.float64(0.7787610619469026), np.float64(0.7298136645962733), np.float64(0.328)]","[np.float64(0.9163556158805565), np.float64(0.002635046113306983), np.float64(0.6845161290322581), np.float64(0.051118210862619806), np.float64(0.0), np.float64(0.07471264367816093), np.float64(0.39492753623188404)]",0.3513540705552464,0.30346645454268373,0.2791820334889274
