epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_vessel_sten_overall_acc,val_sc_cube_sten_overall_acc,val_sc_cube_plaq_overall_acc,val_sc_cube_joint_overall_acc,val_sc_vessel_sten_overall_acc,val_od_and_sc_vessel_sten_overall_acc,val_od_vessel_sten_macro_precision,val_sc_cube_sten_macro_precision,val_sc_cube_plaq_macro_precision,val_sc_vessel_sten_macro_precision,val_od_and_sc_vessel_sten_macro_precision,val_od_vessel_sten_macro_recall,val_sc_cube_sten_macro_recall,val_sc_cube_plaq_macro_recall,val_sc_vessel_sten_macro_recall,val_od_and_sc_vessel_sten_macro_recall,val_od_vessel_sten_macro_f1,val_sc_cube_sten_macro_f1,val_sc_cube_plaq_macro_f1,val_sc_vessel_sten_macro_f1,val_od_and_sc_vessel_sten_macro_f1,val_od_vessel_sten_per_class_recall,val_sc_cube_sten_per_class_recall,val_sc_cube_plaq_per_class_recall,val_sc_vessel_sten_per_class_recall,val_od_and_sc_vessel_sten_per_class_recall,val_sc_cube_joint_per_class_recall,val_sc_cube_joint_macro_precision,val_sc_cube_joint_macro_recall,val_sc_cube_joint_macro_f1
1,6.6901743358979795,2.6942911393898354,1.3708094358654683,1.2542643214728535,1.8314716121402836,0.8628195280124996,7.641664997406458,2.5013284853021185,1.6347528094707682,1.8708309094346949,1.8310499732501428,0.6702785136216826,0.4710252600297177,0.8471861069836553,0.8378064635958395,0.8223904160475483,0.5661218424962853,0.5705794947994056,0.3189558747753522,0.4630105037590411,0.32772209445371026,0.3820330969267139,0.3952950208379031,0.4112662379303395,0.46480982948103094,0.3695040688805534,0.46036937283570606,0.4507228054746331,0.3434093206023692,0.46291709739812487,0.34691839849524864,0.4167954430094185,0.41211261366425417,"[np.float64(0.8362831858407079), np.float64(0.39751552795031053), np.float64(0.0)]","[np.float64(0.9596765071824455), np.float64(0.4347529812606474), np.float64(0.0)]","[np.float64(0.9596765071824455), np.float64(0.0), np.float64(0.5183397683397684), np.float64(0.0)]","[np.float64(0.6637168141592921), np.float64(0.717391304347826), np.float64(0.0)]","[np.float64(0.5353982300884956), np.float64(0.8167701863354038), np.float64(0.0)]","[np.float64(0.9596765071824455), np.float64(0.0), np.float64(0.47870967741935483), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.16892215842229147,0.20548374065740002,0.1836171424227548
2,6.117895646957354,2.4293014544172813,1.2413825950779989,1.2058289977327241,1.767570135009996,0.6617313208069,7.631210938405566,2.505846059994457,1.6249562137558482,1.8754524409947835,1.8231367414004724,0.6827093173559059,0.512630014858841,0.8545690936106983,0.843657132243685,0.8253621842496285,0.6270430906389302,0.6032689450222882,0.34174655394012293,0.6690024739512794,0.445693168991929,0.7088736614598683,0.7022023943594679,0.4301379651514319,0.49710447736647123,0.3996365266153372,0.5291835321277415,0.49547093204346,0.37905613512170894,0.4901045924629397,0.3671012495947924,0.49405355709877224,0.47280229482883235,"[np.float64(0.7345132743362832), np.float64(0.5559006211180124), np.float64(0.0)]","[np.float64(0.9526637258228707), np.float64(0.5277683134582624), np.float64(0.01088139281828074)]","[np.float64(0.9526637258228707), np.float64(0.0), np.float64(0.6336872586872587), np.float64(0.012195121951219513)]","[np.float64(0.8141592920353983), np.float64(0.717391304347826), np.float64(0.056)]","[np.float64(0.6415929203539823), np.float64(0.7888198757763976), np.float64(0.056)]","[np.float64(0.9526637258228707), np.float64(0.0), np.float64(0.5954838709677419), np.float64(0.004792332268370607), np.float64(0.0), np.float64(0.0038314176245210726), np.float64(0.007246376811594203)]",0.3027472362236084,0.22343110335644265,0.19493013883139573
3,5.993902182595878,2.4051595457571713,1.2015206676060701,1.1857012890195107,1.726229666253436,0.6789298805718621,7.459020444830377,2.4402507511727536,1.609253624426505,1.8002624380836147,1.7923411820691841,0.6479095720882232,0.46805349182763745,0.8582373699851411,0.8515973254086181,0.8316771916790491,0.6463595839524517,0.6448736998514116,0.32245299436310676,0.6395506038819524,0.48917725855296,0.6706024206024207,0.6694657417548985,0.4241466498103666,0.5203407542797022,0.4216763050351052,0.592662159438612,0.5911872331849246,0.32886176606564954,0.5458132639382759,0.41724660470942393,0.5843091725996358,0.5832075130431159,"[np.float64(0.9867256637168141), np.float64(0.2857142857142857), np.float64(0.0)]","[np.float64(0.9608076009501187), np.float64(0.4674616695059625), np.float64(0.13275299238302501)]","[np.float64(0.9608076009501187), np.float64(0.0), np.float64(0.5950772200772201), np.float64(0.13082039911308205)]","[np.float64(0.9070796460176991), np.float64(0.6149068322981367), np.float64(0.256)]","[np.float64(0.9026548672566371), np.float64(0.6149068322981367), np.float64(0.256)]","[np.float64(0.9608076009501187), np.float64(0.0), np.float64(0.5464516129032259), np.float64(0.001597444089456869), np.float64(0.0), np.float64(0.017241379310344827), np.float64(0.23550724637681159)]",0.2642934135071078,0.25165789766142255,0.23613396265042302
4,5.834878624832562,2.3317388170477695,1.1609323278890322,1.1812751528696488,1.6805888544662861,0.6511499650334402,7.57445935184241,2.46986087351949,1.6061785787078677,1.892241358757019,1.8090576994666714,0.6608031754677657,0.5898959881129272,0.8439821693907875,0.8364134472511144,0.8136608469539376,0.6582466567607727,0.6656760772659732,0.6164821092278719,0.622619043888506,0.4938164525963744,0.6662962163129346,0.6803639604733086,0.4929476172154126,0.5652663838501787,0.4565789062504925,0.6013707836347313,0.5989439161582294,0.4460630847770033,0.5802923203533773,0.4400689658951874,0.6085001197108821,0.6146995307251643,"[np.float64(0.7920353982300885), np.float64(0.6708074534161491), np.float64(0.016)]","[np.float64(0.9278927723108246), np.float64(0.527427597955707), np.float64(0.24047878128400435)]","[np.float64(0.9278927723108246), np.float64(0.0), np.float64(0.680019305019305), np.float64(0.21840354767184036)]","[np.float64(0.7964601769911505), np.float64(0.6956521739130435), np.float64(0.312)]","[np.float64(0.7035398230088495), np.float64(0.7732919254658385), np.float64(0.32)]","[np.float64(0.9278927723108246), np.float64(0.0), np.float64(0.6264516129032258), np.float64(0.001597444089456869), np.float64(0.0), np.float64(0.06321839080459771), np.float64(0.40217391304347827)]",0.32706440082691834,0.28876201902165477,0.2583428303249355
5,5.814818989085612,2.3154018098793627,1.1424028879862889,1.214611405559347,1.6598356211358039,0.6555661900090001,7.317295080122679,2.401585697420273,1.5982727498611993,1.7191639084490542,1.7704170379865063,0.6311686606718454,0.5052005943536404,0.8660846953937593,0.8611162704309064,0.8422641158989599,0.62555720653789,0.6285289747399703,0.34385248690208886,0.6688882802867854,0.5166945836342113,0.6873151509040801,0.6885576441102756,0.45046629656094833,0.5017003072941547,0.4146424184008912,0.5749765294343978,0.5766071932428224,0.3622353614342933,0.5311546675216691,0.42404307914454215,0.5525419505055901,0.5551459085635518,"[np.float64(0.9911504424778761), np.float64(0.36024844720496896), np.float64(0.0)]","[np.float64(0.9783395543490555), np.float64(0.43100511073253833), np.float64(0.0957562568008705)]","[np.float64(0.9783395543490555), np.float64(0.0), np.float64(0.5405405405405406), np.float64(0.13968957871396895)]","[np.float64(0.9734513274336283), np.float64(0.5434782608695652), np.float64(0.208)]","[np.float64(0.9690265486725663), np.float64(0.5527950310559007), np.float64(0.208)]","[np.float64(0.9783395543490555), np.float64(0.0), np.float64(0.49032258064516127), np.float64(0.04313099041533546), np.float64(0.0), np.float64(0.01532567049808429), np.float64(0.16304347826086957)]",0.3112528013008914,0.24145175345264372,0.24057739651851498
6,5.7030034764422535,2.2587513710335316,1.106227549213895,1.231796996994207,1.6143801779838773,0.644371190866045,7.481803107332405,2.4008693571260493,1.6027446741166385,1.8754443934833969,1.776819659269882,0.624049695866398,0.5735512630014858,0.8399424219910847,0.8332559435364042,0.8091567607726597,0.6641901931649331,0.6582466567607727,0.6186134266405955,0.6019189291784017,0.5900483130446547,0.6581029095419787,0.6506335266500967,0.5401212187837813,0.5891007367334353,0.4539967838532884,0.607015592077539,0.6031870866084025,0.5169836195495963,0.5933508685931163,0.4252430992772882,0.615303830079975,0.611894579890566,"[np.float64(0.9380530973451328), np.float64(0.4503105590062112), np.float64(0.232)]","[np.float64(0.9202578893790295), np.float64(0.5151618398637138), np.float64(0.33188248095756256)]","[np.float64(0.9202578893790295), np.float64(0.0011363636363636363), np.float64(0.7393822393822393), np.float64(0.15521064301552107)]","[np.float64(0.7787610619469026), np.float64(0.7142857142857143), np.float64(0.328)]","[np.float64(0.7654867256637168), np.float64(0.7080745341614907), np.float64(0.336)]","[np.float64(0.9202578893790295), np.float64(0.0013175230566534915), np.float64(0.6135483870967742), np.float64(0.03035143769968051), np.float64(0.0), np.float64(0.21839080459770116), np.float64(0.25)]",0.3827215899889194,0.290552291689977,0.27203988932013223
7,5.72576919206455,2.2904881823723766,1.1032201007671527,1.2288408174921395,1.6402243653280755,0.6502638148870004,7.561047292250907,2.4666619633354845,1.603051265552419,1.888282782246168,1.7999678542422965,0.6666941121441674,0.5988112927191679,0.8506222139673105,0.8511794205052006,0.825687221396731,0.6641901931649331,0.649331352154532,0.6397792248538517,0.6043877533703665,0.5933575026533829,0.6534504801831534,0.6419957440340477,0.5521879111013394,0.5835420047500224,0.47444806261539074,0.6239675333003536,0.6039415159676799,0.5460912451614086,0.5930859937495916,0.471248052228138,0.6230898040650249,0.6115324627766264,"[np.float64(0.8495575221238938), np.float64(0.5590062111801242), np.float64(0.248)]","[np.float64(0.943784639746635), np.float64(0.44122657580919933), np.float64(0.36561479869423286)]","[np.float64(0.943784639746635), np.float64(0.006818181818181818), np.float64(0.668918918918919), np.float64(0.27827050997782704)]","[np.float64(0.8672566371681416), np.float64(0.6366459627329193), np.float64(0.368)]","[np.float64(0.7699115044247787), np.float64(0.6739130434782609), np.float64(0.368)]","[np.float64(0.943784639746635), np.float64(0.005270092226613966), np.float64(0.5238709677419355), np.float64(0.09105431309904154), np.float64(0.0), np.float64(0.23754789272030652), np.float64(0.35144927536231885)]",0.3588812614616842,0.30756816869955017,0.30006152776438844
8,5.625020995736122,2.2392962433944987,1.0771363432766439,1.2314520589902072,1.5997910525249897,0.6395051907774293,7.330047622986292,2.3911812284226235,1.5758143907484738,1.7872376134204582,1.7518130130513132,0.6393682089598314,0.5438335809806835,0.8577730312035661,0.8627414561664191,0.8359491084695394,0.6508172362555721,0.6537890044576523,0.6129599567099567,0.6182200816612774,0.5152259332338011,0.6552480478551157,0.6541303490757691,0.5169764195020062,0.5793738149863711,0.49977890754243515,0.6216864361750857,0.6237568295498268,0.47556872433083885,0.5944396894717139,0.5032471217866107,0.6110212377633981,0.6132527475389637,"[np.float64(0.995575221238938), np.float64(0.36335403726708076), np.float64(0.192)]","[np.float64(0.959393733740527), np.float64(0.393526405451448), np.float64(0.3852013057671382)]","[np.float64(0.959393733740527), np.float64(0.0), np.float64(0.5796332046332047), np.float64(0.46008869179600886)]","[np.float64(0.9380530973451328), np.float64(0.5590062111801242), np.float64(0.368)]","[np.float64(0.9380530973451328), np.float64(0.5652173913043478), np.float64(0.368)]","[np.float64(0.959393733740527), np.float64(0.0), np.float64(0.45225806451612904), np.float64(0.16613418530351437), np.float64(0.0), np.float64(0.1724137931034483), np.float64(0.5217391304347826)]",0.32103485288864564,0.3245627010140573,0.3122862279361826
9,5.592651554735872,2.229262133997123,1.062070191027544,1.2392490343427507,1.5949051483813148,0.634356986220905,7.409608522579295,2.401205538288422,1.5821364491912662,1.8441300866158143,1.787678243852157,0.6135272978851987,0.6240713224368499,0.8511329866270431,0.8532689450222882,0.8261051263001485,0.6701337295690936,0.6582466567607727,0.6299350604877624,0.6036040265401665,0.6330638881630571,0.6579429931603844,0.6472462962544202,0.5840297550339875,0.5887982318658834,0.4975315845496455,0.6289877791824695,0.6147348247494456,0.5819590842271319,0.5954670925187365,0.49245896393916805,0.6273973757933751,0.6213692230489459,"[np.float64(0.8451327433628318), np.float64(0.5869565217391305), np.float64(0.32)]","[np.float64(0.9428797647324964), np.float64(0.4470187393526405), np.float64(0.3764961915125136)]","[np.float64(0.9428797647324964), np.float64(0.004545454545454545), np.float64(0.6491312741312741), np.float64(0.39356984478935697)]","[np.float64(0.8761061946902655), np.float64(0.6428571428571429), np.float64(0.368)]","[np.float64(0.7831858407079646), np.float64(0.6770186335403726), np.float64(0.384)]","[np.float64(0.9428797647324964), np.float64(0.003952569169960474), np.float64(0.5109677419354839), np.float64(0.15175718849840256), np.float64(0.0), np.float64(0.210727969348659), np.float64(0.4311594202898551)]",0.3721654033382307,0.32163495056783675,0.3102237585679126
10,5.512825574094461,2.183901476742184,1.0420507851693421,1.2448225291130148,1.5700375469727705,0.613863930986184,7.3992614151815985,2.3854671953693694,1.585916747325252,1.8419607039375192,1.7714369817020632,0.6140302149938193,0.6136701337295691,0.8466753343239227,0.8480683506686478,0.8215546062407132,0.674591381872214,0.6686478454680534,0.6332076904490699,0.5923119817362404,0.5892920491897653,0.6612490991808734,0.6555349716228948,0.5691932061782005,0.5893851741637913,0.47584689699011723,0.6369877791824695,0.6262510489382364,0.56262096013122,0.5898477816515871,0.46734192256835083,0.6357118663204245,0.6310939319294778,"[np.float64(0.8672566371681416), np.float64(0.5683229813664596), np.float64(0.272)]","[np.float64(0.937507069336048), np.float64(0.44327086882453154), np.float64(0.38737758433079433)]","[np.float64(0.937507069336048), np.float64(0.007954545454545454), np.float64(0.6973938223938224), np.float64(0.26053215077605324)]","[np.float64(0.8761061946902655), np.float64(0.6428571428571429), np.float64(0.392)]","[np.float64(0.8097345132743363), np.float64(0.6770186335403726), np.float64(0.392)]","[np.float64(0.937507069336048), np.float64(0.005270092226613966), np.float64(0.5348387096774193), np.float64(0.07987220447284345), np.float64(0.0), np.float64(0.2720306513409962), np.float64(0.32971014492753625)]",0.35093205582962467,0.3084612674259225,0.29596299705935464
11,5.465811616388586,2.1694650488279463,1.0295705160568074,1.2372055388566128,1.5541248542840702,0.6153401952805155,7.477483490454337,2.4144428462585994,1.5824053811036514,1.8982299060425347,1.7701449868233339,0.6442978574897132,0.6017830609212481,0.8444465081723626,0.8526653046062407,0.8215081723625557,0.6701337295690936,0.6686478454680534,0.6142933000144425,0.5928776663462868,0.5501131955988241,0.6521314379461403,0.6499986789532537,0.5995697979076201,0.6222314410167429,0.5327166567679864,0.6607951043441617,0.6603844702174829,0.5810379518797939,0.596375046007229,0.5141131049447624,0.6536350233662822,0.653668063042809,"[np.float64(0.911504424778761), np.float64(0.4472049689440994), np.float64(0.44)]","[np.float64(0.93784639746635), np.float64(0.3717206132879046), np.float64(0.5571273122959739)]","[np.float64(0.93784639746635), np.float64(0.011363636363636364), np.float64(0.6018339768339769), np.float64(0.5798226164079823)]","[np.float64(0.8185840707964602), np.float64(0.6118012422360248), np.float64(0.552)]","[np.float64(0.7920353982300885), np.float64(0.6211180124223602), np.float64(0.568)]","[np.float64(0.93784639746635), np.float64(0.00922266139657444), np.float64(0.4341935483870968), np.float64(0.12779552715654952), np.float64(0.0), np.float64(0.2739463601532567), np.float64(0.7463768115942029)]",0.3372236616323197,0.36134018659343287,0.3101552888781932
