epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_vessel_sten_overall_acc,val_sc_cube_sten_overall_acc,val_sc_cube_plaq_overall_acc,val_sc_cube_joint_overall_acc,val_sc_vessel_sten_overall_acc,val_od_and_sc_vessel_sten_overall_acc,val_od_vessel_sten_macro_precision,val_sc_cube_sten_macro_precision,val_sc_cube_plaq_macro_precision,val_sc_vessel_sten_macro_precision,val_od_and_sc_vessel_sten_macro_precision,val_od_vessel_sten_macro_recall,val_sc_cube_sten_macro_recall,val_sc_cube_plaq_macro_recall,val_sc_vessel_sten_macro_recall,val_od_and_sc_vessel_sten_macro_recall,val_od_vessel_sten_macro_f1,val_sc_cube_sten_macro_f1,val_sc_cube_plaq_macro_f1,val_sc_vessel_sten_macro_f1,val_od_and_sc_vessel_sten_macro_f1,val_od_vessel_sten_per_class_recall,val_sc_cube_sten_per_class_recall,val_sc_cube_plaq_per_class_recall,val_sc_vessel_sten_per_class_recall,val_od_and_sc_vessel_sten_per_class_recall,val_sc_cube_joint_per_class_recall,val_sc_cube_joint_macro_precision,val_sc_cube_joint_macro_recall,val_sc_cube_joint_macro_f1
1,6.392701571691508,2.700563266831266,1.2907894612684594,1.1105594027387558,1.7643096537071432,0.9362536138134067,7.425867442914923,2.4982288902520424,1.5855778409748473,1.7564828799103418,1.8292945856864091,0.6689343026200812,0.5468053491827637,0.8524795690936107,0.8463502971768202,0.8356705052005944,0.575037147102526,0.5988112927191679,0.36398149872726143,0.7073676891884778,0.5103334591990507,0.6722232510669119,0.6798923949674327,0.4429542498030378,0.4453493628471645,0.34716450456232334,0.5315524285897506,0.5146961285476098,0.3993113294700596,0.4779043161481833,0.36404295653281304,0.5114890706001817,0.5239848721842771,"[np.float64(0.6238938053097345), np.float64(0.7049689440993789), np.float64(0.0)]","[np.float64(0.989141499830336), np.float64(0.2729131175468484), np.float64(0.07399347116430903)]","[np.float64(0.989141499830336), np.float64(0.0), np.float64(0.3219111969111969), np.float64(0.07760532150776053)]","[np.float64(0.9070796460176991), np.float64(0.48757763975155277), np.float64(0.2)]","[np.float64(0.5707964601769911), np.float64(0.7732919254658385), np.float64(0.2)]","[np.float64(0.989141499830336), np.float64(0.0), np.float64(0.29612903225806453), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.17391304347826086)]",0.23922449923724656,0.20845479650952306,0.21375891680278158
1,6.253978739097967,2.687041421983875,1.28772273111436,0.9914918593893953,1.7661183140961463,0.9209231077614477,7.617589434105848,2.532997301141303,1.6009499287393043,1.8826922839756182,1.8349419248563954,0.6980553736871534,0.5289747399702823,0.8458859583952452,0.8358562407132244,0.8207652303120356,0.5809806835066865,0.5765230312035661,0.3517568722724614,0.5873734513579701,0.49734548542888896,0.6110524979997565,0.6270928462709283,0.42349621649352315,0.46615971874574974,0.367016745423993,0.4891646237563898,0.4658314736437091,0.38291517323775387,0.46978890691608677,0.3477377795263679,0.48049290725683563,0.45877043662076816,"[np.float64(0.5530973451327433), np.float64(0.717391304347826), np.float64(0.0)]","[np.float64(0.959054405610225), np.float64(0.424190800681431), np.float64(0.015233949945593036)]","[np.float64(0.959054405610225), np.float64(0.0), np.float64(0.49903474903474904), np.float64(0.009977827050997782)]","[np.float64(0.6194690265486725), np.float64(0.7360248447204969), np.float64(0.112)]","[np.float64(0.415929203539823), np.float64(0.8695652173913043), np.float64(0.112)]","[np.float64(0.959054405610225), np.float64(0.0), np.float64(0.4587096774193548), np.float64(0.0), np.float64(0.0), np.float64(0.007662835249042145), np.float64(0.010869565217391304)]",0.22449101475662778,0.20518521192800193,0.18690894081470463
1,6.240540068365086,2.641371635604376,1.2566917542852252,1.085784919770424,1.7555717859564528,0.8857998505213671,7.41789342104858,2.4659224592967273,1.5824493099037193,1.7870723444205716,1.8194120945491847,0.6465103643716974,0.5289747399702823,0.8564264487369985,0.8487184249628529,0.8349275631500743,0.6032689450222882,0.6136701337295691,0.35675518925518923,0.6799629945236915,0.5144616369771915,0.6968285275977584,0.7027270421106038,0.45691566353359353,0.4590105605821349,0.3613376735099839,0.5336446618662855,0.5325361769178621,0.3877269757743352,0.47872498202143615,0.3605508156792913,0.5147017198060065,0.5222453267388135,"[np.float64(0.8893805309734514), np.float64(0.4813664596273292), np.float64(0.0)]","[np.float64(0.9813935075217736), np.float64(0.36081771720613287), np.float64(0.03482045701849837)]","[np.float64(0.9813935075217736), np.float64(0.0), np.float64(0.4329150579150579), np.float64(0.031042128603104215)]","[np.float64(0.8451327433628318), np.float64(0.6118012422360248), np.float64(0.144)]","[np.float64(0.7610619469026548), np.float64(0.6925465838509317), np.float64(0.144)]","[np.float64(0.9813935075217736), np.float64(0.0), np.float64(0.39161290322580644), np.float64(0.0), np.float64(0.0), np.float64(0.009578544061302681), np.float64(0.057971014492753624)]",0.28066449281612155,0.2057937099002338,0.2006175881485625
2,5.731573023449229,2.349334645658563,1.1254747917265289,1.1312887988311087,1.6775584294550163,0.6717762163508747,7.369118957915717,2.404799962609741,1.576982537787463,1.8103539179623658,1.774883054130509,0.629916914890711,0.462109955423477,0.8615806092124815,0.8549869985141159,0.8355312035661219,0.6404160475482912,0.6404160475482912,0.31773281877363274,0.634332942566098,0.5298824600622323,0.6292149415981215,0.6288996448591792,0.42088532219351765,0.5351430311806912,0.40688778400056713,0.6039566133494568,0.6039566133494568,0.32229248218408113,0.5693832786639035,0.4001393928394706,0.5954828640884348,0.5956887420840941,"[np.float64(0.995575221238938), np.float64(0.2670807453416149), np.float64(0.0)]","[np.float64(0.9693473588960525), np.float64(0.4119250425894378), np.float64(0.22415669205658323)]","[np.float64(0.9693473588960525), np.float64(0.0), np.float64(0.5805984555984556), np.float64(0.07760532150776053)]","[np.float64(0.8982300884955752), np.float64(0.577639751552795), np.float64(0.336)]","[np.float64(0.8982300884955752), np.float64(0.577639751552795), np.float64(0.336)]","[np.float64(0.9693473588960525), np.float64(0.0), np.float64(0.4664516129032258), np.float64(0.0), np.float64(0.0), np.float64(0.16475095785440613), np.float64(0.16304347826086957)]",0.27754954753569744,0.25194191541636485,0.25160756981169713
3,5.559009955806584,2.2743845266937197,1.0771977249269853,1.1302299780697473,1.624306587365556,0.650077941556498,7.345385042071697,2.486991182632899,1.538517820021519,1.7813582013551843,1.791719827878369,0.6952713580265951,0.5037147102526003,0.857308692421991,0.8652024517087668,0.8392923476968797,0.6077265973254086,0.6077265973254086,0.6773020691580306,0.6284426966954594,0.5256860933418717,0.6154738698598347,0.6127063842196819,0.4526940398321699,0.5611711204999627,0.4598413506102806,0.6338991187086608,0.6334593891423441,0.3692458038888649,0.5695978771788801,0.48313687640215014,0.5878896634745591,0.5884013216418859,"[np.float64(0.9911504424778761), np.float64(0.35093167701863354), np.float64(0.016)]","[np.float64(0.9785092184142066), np.float64(0.2545144804088586), np.float64(0.4504896626768226)]","[np.float64(0.9785092184142066), np.float64(0.0), np.float64(0.47393822393822393), np.float64(0.3869179600886918)]","[np.float64(0.9690265486725663), np.float64(0.37267080745341613), np.float64(0.56)]","[np.float64(0.9646017699115044), np.float64(0.37577639751552794), np.float64(0.56)]","[np.float64(0.9785092184142066), np.float64(0.0), np.float64(0.30838709677419357), np.float64(0.0), np.float64(0.0), np.float64(0.24521072796934865), np.float64(0.605072463768116)]",0.26160007774587485,0.30531135813226634,0.2759195243400148
4,5.462289924801743,2.2544982248527856,1.044255211233756,1.1192812773762113,1.6030650485706868,0.6514331765320299,7.222391899686185,2.412237562482364,1.5425471523749015,1.7250600243180725,1.747722049495233,0.6645155126776116,0.4947994056463596,0.861905646359584,0.8637165676077266,0.8401281575037147,0.6106983655274889,0.612184249628529,0.3374534905719872,0.638186699492831,0.5136426126456217,0.614736514100121,0.6146939503103886,0.44365964931567087,0.5556545582058388,0.4555024442541823,0.5919198226424083,0.5929550193297789,0.3526126145859572,0.5840509453457098,0.4747302235196019,0.5689189253063583,0.5703265284975453,"[np.float64(0.995575221238938), np.float64(0.33540372670807456), np.float64(0.0)]","[np.float64(0.9760208121253252), np.float64(0.33185689948892677), np.float64(0.3590859630032644)]","[np.float64(0.9760208121253252), np.float64(0.0), np.float64(0.49565637065637064), np.float64(0.35033259423503327)]","[np.float64(0.9690265486725663), np.float64(0.46273291925465837), np.float64(0.344)]","[np.float64(0.9690265486725663), np.float64(0.4658385093167702), np.float64(0.344)]","[np.float64(0.9760208121253252), np.float64(0.0), np.float64(0.40064516129032257), np.float64(0.0), np.float64(0.0), np.float64(0.09961685823754789), np.float64(0.5869565217391305)]",0.2561577643994172,0.29474847905604656,0.2670129362869772
5,5.371543408597762,2.2118227434907594,1.0151786328119747,1.1293633923797453,1.5752054193388607,0.6366173264986209,7.249754883061531,2.3892348014282545,1.5432058785011225,1.7741083115427714,1.7513520696396643,0.637882731302202,0.5260029717682021,0.8658060921248143,0.861534175334324,0.8397566864784547,0.6463595839524517,0.6463595839524517,0.35562316880775297,0.6530838983589896,0.5428602242480374,0.657601790069057,0.6571382216578644,0.4636398614851866,0.5512393322415169,0.4397597238376307,0.5944210777038788,0.5935416185712453,0.3812279374684821,0.5859994623268016,0.44311644447279114,0.5830977829331185,0.583366542073292,"[np.float64(0.9778761061946902), np.float64(0.41304347826086957), np.float64(0.0)]","[np.float64(0.9679900463748444), np.float64(0.4463373083475298), np.float64(0.23939064200217627)]","[np.float64(0.9679900463748444), np.float64(0.0), np.float64(0.6192084942084942), np.float64(0.17184035476718404)]","[np.float64(0.9247787610619469), np.float64(0.6024844720496895), np.float64(0.256)]","[np.float64(0.915929203539823), np.float64(0.6086956521739131), np.float64(0.256)]","[np.float64(0.9679900463748444), np.float64(0.0), np.float64(0.5303225806451612), np.float64(0.006389776357827476), np.float64(0.0), np.float64(0.10727969348659004), np.float64(0.31521739130434784)]",0.3700488340463672,0.27531421259553873,0.26976254653402454
6,5.319196537263313,2.215566853471732,0.9997857886887456,1.1040581025046396,1.5883338883266611,0.6272329654686658,7.373895997463419,2.419010741420599,1.542768590528109,1.8693480756940757,1.7820951492920827,0.6369155934992459,0.5988112927191679,0.861441307578009,0.8638094353640416,0.837760029717682,0.6790490341753344,0.6731054977711739,0.4849141824751581,0.6337430769173852,0.5125464378726612,0.673737658952804,0.6696564060018152,0.5001657047582403,0.5911709256238679,0.504781984523164,0.646874145733707,0.6299812015610399,0.44900039415236065,0.6087436918351067,0.5057387585204121,0.6430310628268413,0.6392298583500708,"[np.float64(0.8185840707964602), np.float64(0.6739130434782609), np.float64(0.008)]","[np.float64(0.9597896165592128), np.float64(0.4132879045996593), np.float64(0.40043525571273125)]","[np.float64(0.9597896165592128), np.float64(0.0), np.float64(0.5781853281853282), np.float64(0.4811529933481153)]","[np.float64(0.911504424778761), np.float64(0.6211180124223602), np.float64(0.408)]","[np.float64(0.7831858407079646), np.float64(0.6987577639751553), np.float64(0.408)]","[np.float64(0.9597896165592128), np.float64(0.0), np.float64(0.52), np.float64(0.04472843450479233), np.float64(0.0), np.float64(0.08045977011494253), np.float64(0.7065217391304348)]",0.32783551513620013,0.33021422290134034,0.28530276209454214
7,5.2779416787296025,2.194957066643036,0.9781868800384093,1.1266108599917617,1.5563458228683742,0.6386112416042068,7.091633420315977,2.3659909351643185,1.5220900781076812,1.6814622974537248,1.7373219873501922,0.6286689489195538,0.5141158989598811,0.8653417533432393,0.8670598068350669,0.8437964338781575,0.612184249628529,0.6181277860326895,0.46199278757418294,0.653413410025646,0.5497190843460096,0.6327570230591405,0.6347635174394475,0.4587486762307847,0.5511052031728684,0.4466105948638826,0.5959056780080251,0.6000464647575074,0.37444844194784205,0.5862743849164005,0.4710057747232323,0.5728299769582466,0.5781187003657219,"[np.float64(0.995575221238938), np.float64(0.37267080745341613), np.float64(0.008)]","[np.float64(0.9800361950005656), np.float64(0.341396933560477), np.float64(0.33188248095756256)]","[np.float64(0.9800361950005656), np.float64(0.0), np.float64(0.527027027027027), np.float64(0.2793791574279379)]","[np.float64(0.9823008849557522), np.float64(0.453416149068323), np.float64(0.352)]","[np.float64(0.9823008849557522), np.float64(0.4658385093167702), np.float64(0.352)]","[np.float64(0.9800361950005656), np.float64(0.0), np.float64(0.40516129032258064), np.float64(0.006389776357827476), np.float64(0.0), np.float64(0.1417624521072797), np.float64(0.4963768115942029)]",0.3448332543479222,0.2899609321974938,0.28123966955440466
8,5.206406752226379,2.162820145561449,0.9624893571918378,1.118607894159685,1.5340786934383004,0.6287414529755458,7.1174472658853505,2.34723409064092,1.5216817597607124,1.7268496490020073,1.735310873221219,0.6119232138602245,0.5364041604754829,0.8644130757800892,0.868452823179792,0.8429141901931649,0.6389301634472511,0.6419019316493314,0.5892157739194203,0.6454061687791671,0.5465256781655694,0.6427192316064915,0.6421863090564136,0.5080977665402444,0.5874800021824205,0.4639490936598578,0.6420193114567875,0.6440897048315286,0.46350926542798626,0.6000412577666522,0.4823781864516404,0.6185737350070437,0.6209416107579175,"[np.float64(0.9911504424778761), np.float64(0.35714285714285715), np.float64(0.176)]","[np.float64(0.9746634996041171), np.float64(0.3264054514480409), np.float64(0.4613710554951034)]","[np.float64(0.9746634996041171), np.float64(0.0), np.float64(0.5762548262548263), np.float64(0.3048780487804878)]","[np.float64(0.9469026548672567), np.float64(0.4751552795031056), np.float64(0.504)]","[np.float64(0.9469026548672567), np.float64(0.4813664596273292), np.float64(0.504)]","[np.float64(0.9746634996041171), np.float64(0.0), np.float64(0.3825806451612903), np.float64(0.039936102236421724), np.float64(0.0), np.float64(0.3065134099616858), np.float64(0.5108695652173914)]",0.36078313753854124,0.3163661745972723,0.3041524921734404
