epoch,train_loss,train_od_loss,train_sc_loss,train_dc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_sc_loss,val_dc_loss,val_label_loss,val_box_loss,val_od_vessel_sten_overall_acc,val_sc_cube_sten_overall_acc,val_sc_cube_plaq_overall_acc,val_sc_cube_joint_overall_acc,val_sc_vessel_sten_overall_acc,val_od_and_sc_vessel_sten_overall_acc,val_od_vessel_sten_macro_precision,val_sc_cube_sten_macro_precision,val_sc_cube_plaq_macro_precision,val_sc_vessel_sten_macro_precision,val_od_and_sc_vessel_sten_macro_precision,val_od_vessel_sten_macro_recall,val_sc_cube_sten_macro_recall,val_sc_cube_plaq_macro_recall,val_sc_vessel_sten_macro_recall,val_od_and_sc_vessel_sten_macro_recall,val_od_vessel_sten_macro_f1,val_sc_cube_sten_macro_f1,val_sc_cube_plaq_macro_f1,val_sc_vessel_sten_macro_f1,val_od_and_sc_vessel_sten_macro_f1,val_od_vessel_sten_per_class_recall,val_sc_cube_sten_per_class_recall,val_sc_cube_plaq_per_class_recall,val_sc_vessel_sten_per_class_recall,val_od_and_sc_vessel_sten_per_class_recall,val_sc_cube_joint_per_class_recall,val_sc_cube_joint_macro_precision,val_sc_cube_joint_macro_recall,val_sc_cube_joint_macro_f1
1,3.9994100905575993,2.201053395067568,1.2718452022405669,0.5265114887243947,1.7100506994852238,0.4910026957980741,4.569996125620268,2.1489922459118445,1.5829725743047562,0.8380313080566927,1.8168406019578702,0.33215164260535285,0.4606240713224368,0.8488577265973254,0.8451894502228826,0.8329773402674592,0.5601783060921248,0.5720653789004457,0.31518351249920484,0.6084876118114151,0.33961793144917835,0.5572314192221133,0.5606910098951735,0.41325418201139635,0.44845587426208144,0.33628172412317303,0.5353165136774217,0.5378816028142692,0.32795905310300705,0.48133181466484914,0.3346237580211863,0.5145093047330156,0.5269990163012929,"[np.float64(0.9292035398230089), np.float64(0.3105590062111801), np.float64(0.0)]","[np.float64(0.9875014138672096), np.float64(0.24361158432708688), np.float64(0.11425462459194777)]","[np.float64(0.9875014138672096), np.float64(0.0), np.float64(0.3576254826254826), np.float64(0.0)]","[np.float64(0.8849557522123894), np.float64(0.4409937888198758), np.float64(0.28)]","[np.float64(0.827433628318584), np.float64(0.5062111801242236), np.float64(0.28)]","[np.float64(0.9875014138672096), np.float64(0.0), np.float64(0.2645161290322581), np.float64(0.0), np.float64(0.0), np.float64(0.13026819923371646), np.float64(0.0)]",0.2067442154478178,0.197469391733312,0.1985532658526885
2,3.6472314345718777,1.9705808159742653,1.14265634656205,0.5339942714883446,1.6334446631582444,0.33713615328431296,4.490074666388311,2.1149109216401416,1.5621005972344373,0.8130631344254717,1.7651843387932027,0.34972658954582864,0.4413075780089153,0.8600947251114414,0.8536404160475483,0.8386887072808321,0.6077265973254086,0.6077265973254086,0.30421699731857255,0.6565842284520729,0.4741834840784742,0.647655888532399,0.647655888532399,0.40683229813664595,0.48254199159079963,0.3833349043722139,0.5599157917880503,0.5599157917880503,0.30127856159929833,0.5167966104754342,0.39504391935778616,0.5376723685949517,0.5376723685949517,"[np.float64(1.0), np.float64(0.2204968944099379), np.float64(0.0)]","[np.float64(0.9820721637823776), np.float64(0.3621805792163543), np.float64(0.10337323177366703)]","[np.float64(0.9820721637823776), np.float64(0.0), np.float64(0.44594594594594594), np.float64(0.10532150776053215)]","[np.float64(0.9469026548672567), np.float64(0.5248447204968945), np.float64(0.208)]","[np.float64(0.9469026548672567), np.float64(0.5248447204968945), np.float64(0.208)]","[np.float64(0.9820721637823776), np.float64(0.0), np.float64(0.41870967741935483), np.float64(0.0), np.float64(0.0), np.float64(0.0019157088122605363), np.float64(0.17028985507246377)]",0.3560676333412797,0.22471248644092243,0.21755946438966292
3,3.497984423139001,1.9084596445120998,1.0774749353801631,0.5120498420681152,1.5777469855538533,0.3307126584478607,4.506459275763537,2.1128564503497116,1.5509537164818286,0.8426490993811044,1.7845477799633491,0.32830866744592563,0.5898959881129272,0.8627414561664191,0.8585624071322436,0.8386887072808321,0.6240713224368499,0.6523031203566122,0.726224238986576,0.6392087794009963,0.500803551530834,0.6324166912988203,0.648642855500891,0.4979120907308672,0.5364764861955117,0.40901077208540565,0.588809395555067,0.5970451638908737,0.4409468777699825,0.5725470742441434,0.4154421020383629,0.5734577943067205,0.5987347174453342,"[np.float64(0.8584070796460177), np.float64(0.6273291925465838), np.float64(0.008)]","[np.float64(0.9766429136975455), np.float64(0.361839863713799), np.float64(0.27094668117519044)]","[np.float64(0.9766429136975455), np.float64(0.0), np.float64(0.5352316602316602), np.float64(0.12416851441241686)]","[np.float64(0.9424778761061947), np.float64(0.5279503105590062), np.float64(0.296)]","[np.float64(0.827433628318584), np.float64(0.6677018633540373), np.float64(0.296)]","[np.float64(0.9766429136975455), np.float64(0.0), np.float64(0.41870967741935483), np.float64(0.0), np.float64(0.0), np.float64(0.1475095785440613), np.float64(0.2427536231884058)]",0.25925153088713965,0.25508797040705244,0.2545036986922383
4,3.405017736246862,1.8598057613997472,1.0412979858301286,0.5039139936946458,1.530309267152669,0.3294964945101637,4.440348020293238,2.083370985192432,1.5543169699366086,0.8026600490691754,1.769490520395228,0.313880461370379,0.4591381872213967,0.8642273402674592,0.8596768202080238,0.8420783803863299,0.5943536404160475,0.5958395245170877,0.31317898625590934,0.6591372920019859,0.5205985423279825,0.6329122503424904,0.6338805416879758,0.4192546583850931,0.5194520822238505,0.40166119958353896,0.5634659484417083,0.564501145129079,0.31908787396888283,0.5622362372602422,0.4155368888838382,0.5385226033264491,0.5397863899592674,"[np.float64(1.0), np.float64(0.2577639751552795), np.float64(0.0)]","[np.float64(0.9825811559778306), np.float64(0.351618398637138), np.float64(0.22415669205658323)]","[np.float64(0.9825811559778306), np.float64(0.0), np.float64(0.49324324324324326), np.float64(0.13082039911308205)]","[np.float64(0.9778761061946902), np.float64(0.45652173913043476), np.float64(0.256)]","[np.float64(0.9778761061946902), np.float64(0.45962732919254656), np.float64(0.256)]","[np.float64(0.9825811559778306), np.float64(0.0), np.float64(0.4070967741935484), np.float64(0.0), np.float64(0.0), np.float64(0.11685823754789272), np.float64(0.25)]",0.2707410143661019,0.2509337382456102,0.25515015713140615
5,3.3632935092568736,1.8417344126261055,1.0123929385527295,0.509166152490103,1.5233540380594588,0.3183803743535474,4.433776130308384,2.072972711540471,1.547011189361708,0.813792247446779,1.7516027671293264,0.3213699448864785,0.5022288261515602,0.861441307578009,0.8581445022288261,0.836738484398217,0.6225854383358098,0.6270430906389302,0.34419173392027386,0.63144382410147,0.5265921953179392,0.6306427173897053,0.6335780972900086,0.4492753623188406,0.5375612166850382,0.41741802414525603,0.5898453984133092,0.5929509884754209,0.35869731800766286,0.5714148339169716,0.41888053901538547,0.573724414550797,0.5774254936842712,"[np.float64(1.0), np.float64(0.34782608695652173), np.float64(0.0)]","[np.float64(0.9712702183010972), np.float64(0.3911413969335605), np.float64(0.250272034820457)]","[np.float64(0.9712702183010972), np.float64(0.0), np.float64(0.5786679536679536), np.float64(0.1197339246119734)]","[np.float64(0.9469026548672567), np.float64(0.5186335403726708), np.float64(0.304)]","[np.float64(0.9469026548672567), np.float64(0.5279503105590062), np.float64(0.304)]","[np.float64(0.9712702183010972), np.float64(0.0), np.float64(0.4567741935483871), np.float64(0.009584664536741214), np.float64(0.0), np.float64(0.14367816091954022), np.float64(0.20652173913043478)]",0.31171801117843145,0.25540413949088575,0.25606387878541736
6,3.346687912141199,1.8356586838362074,0.9984170841474065,0.5126121468831506,1.5184453944386231,0.3172132899842651,4.427077956298692,2.0655944297858446,1.5320174998274896,0.8294660247398059,1.7547254976249944,0.3108689345264647,0.575037147102526,0.8626021545319466,0.8646452451708767,0.8399424219910847,0.6478454680534919,0.6552748885586924,0.6255641521598968,0.6386890598077333,0.5205667676906929,0.647863245346383,0.6519085528422077,0.5060160867733011,0.5678784198559617,0.4809663350430832,0.6107640667656057,0.6133016728045585,0.45708084335325316,0.5956680907682067,0.4936016083029923,0.6047911386554524,0.611490556446813,"[np.float64(0.9292035398230089), np.float64(0.5248447204968945), np.float64(0.064)]","[np.float64(0.9681031557516118), np.float64(0.38841567291311757), np.float64(0.3471164309031556)]","[np.float64(0.9681031557516118), np.float64(0.0), np.float64(0.5477799227799228), np.float64(0.4079822616407982)]","[np.float64(0.8982300884955752), np.float64(0.5900621118012422), np.float64(0.344)]","[np.float64(0.8716814159292036), np.float64(0.6242236024844721), np.float64(0.344)]","[np.float64(0.9681031557516118), np.float64(0.0), np.float64(0.47483870967741937), np.float64(0.039936102236421724), np.float64(0.0), np.float64(0.08620689655172414), np.float64(0.5978260869565217)]",0.31820894387162174,0.30955870731052837,0.2821242155737051
7,3.319593552289541,1.8229459912994992,0.9798560962212498,0.5167914682651981,1.5071835693729632,0.3157624197850204,4.463343144878082,2.0966754327542,1.5377194708108195,0.8289482322927753,1.7767000382307376,0.31997539330749203,0.5661218424962853,0.8604661961367014,0.861534175334324,0.836738484398217,0.6329866270430906,0.6329866270430906,0.6162686570069752,0.627604228628562,0.5317926516862038,0.63070300701249,0.627077662856106,0.5215811942322138,0.5695973808363783,0.4594210420006289,0.6058736876820755,0.6041147694168086,0.4877147970716438,0.5924132452010507,0.4700876013785009,0.5938340535948211,0.5942223305704534,"[np.float64(0.9513274336283186), np.float64(0.453416149068323), np.float64(0.16)]","[np.float64(0.9654450853975794), np.float64(0.38534923339011923), np.float64(0.35799782372143635)]","[np.float64(0.9654450853975794), np.float64(0.0), np.float64(0.5950772200772201), np.float64(0.2771618625277162)]","[np.float64(0.9203539823008849), np.float64(0.5372670807453416), np.float64(0.36)]","[np.float64(0.9026548672566371), np.float64(0.5496894409937888), np.float64(0.36)]","[np.float64(0.9654450853975794), np.float64(0.0), np.float64(0.46), np.float64(0.027156549520766772), np.float64(0.0), np.float64(0.1743295019157088), np.float64(0.463768115942029)]",0.3222253457814657,0.2986713218251548,0.2876228825422223
8,3.2655039352212247,1.7800847386972884,0.9664852750135091,0.5189339249515853,1.4662461538330815,0.3138385853351299,4.529806410169743,2.1114531369874316,1.5516652420649544,0.8666880189134388,1.7864494093801573,0.3250037260596759,0.6092124814264487,0.8579123328380386,0.8602340267459139,0.8341381872213968,0.6701337295690936,0.6686478454680534,0.6335204387617862,0.6261561574722826,0.620483285587094,0.6591288257954925,0.6589026059175548,0.5401689294417266,0.5881589774133974,0.5023186287085033,0.6341944704007035,0.6251166932336613,0.52520625745718,0.6043142432619031,0.5042574458236266,0.6335069918578413,0.6337980008056734,"[np.float64(0.8362831858407079), np.float64(0.6242236024844721), np.float64(0.16)]","[np.float64(0.9550955774233684), np.float64(0.4187393526405451), np.float64(0.3906420021762786)]","[np.float64(0.9550955774233684), np.float64(0.003409090909090909), np.float64(0.5873552123552124), np.float64(0.4634146341463415)]","[np.float64(0.8628318584070797), np.float64(0.639751552795031), np.float64(0.4)]","[np.float64(0.7654867256637168), np.float64(0.7018633540372671), np.float64(0.408)]","[np.float64(0.9550955774233684), np.float64(0.0), np.float64(0.5038709677419355), np.float64(0.09744408945686901), np.float64(0.01652892561983471), np.float64(0.12260536398467432), np.float64(0.6086956521739131)]",0.37558693290290773,0.32917722520008497,0.30328161287102906
9,3.246678184360097,1.7795166855014988,0.9465537112321978,0.5206077884682744,1.4602817284143241,0.3192349605835806,4.402608120830547,2.053992625160104,1.5246543052995947,0.8239611946156895,1.7396830904023937,0.31430953637716147,0.549777117384844,0.8607447994056464,0.8670133729569094,0.8401281575037147,0.6567607726597325,0.6552748885586924,0.6011407069593612,0.6299446457163648,0.5234327446759013,0.6595477172400249,0.6548966294098797,0.5353607064988365,0.5852743201179332,0.491056266588898,0.6562579746789058,0.6552227779915353,0.4994235743554582,0.5945264948135716,0.5024438942369276,0.6405577801340595,0.6386315602709741,"[np.float64(0.9911504424778761), np.float64(0.35093167701863354), np.float64(0.264)]","[np.float64(0.9688383667005995), np.float64(0.33867120954003405), np.float64(0.44831338411316646)]","[np.float64(0.9688383667005995), np.float64(0.0), np.float64(0.5497104247104247), np.float64(0.44567627494456763)]","[np.float64(0.915929203539823), np.float64(0.5248447204968945), np.float64(0.528)]","[np.float64(0.915929203539823), np.float64(0.5217391304347826), np.float64(0.528)]","[np.float64(0.9688383667005995), np.float64(0.0), np.float64(0.4070967741935484), np.float64(0.08626198083067092), np.float64(0.0), np.float64(0.20881226053639848), np.float64(0.6086956521739131)]",0.3309605281053645,0.32567214777644715,0.3027780673795086
10,3.181451147411671,1.7276897715815043,0.9373146093866161,0.5164467661410023,1.4167770509329218,0.31091272020659877,4.395456781726916,2.047265614175655,1.521855256677735,0.8263359106966579,1.7305694786660395,0.31669613374093164,0.5289747399702823,0.8603733283803864,0.8677563150074294,0.8408710995542348,0.6448736998514116,0.6508172362555721,0.5908816974588229,0.6321140046973698,0.5244579586221791,0.6443011708907663,0.6452320757919326,0.5281458436394951,0.5850304620889105,0.4791268886773203,0.654629729383096,0.6583307865662618,0.48931829884367767,0.5890424349243311,0.49428464012304585,0.6289858466891961,0.633852923337992,"[np.float64(0.9823008849557522), np.float64(0.2981366459627329), np.float64(0.304)]","[np.float64(0.9724578667571542), np.float64(0.3049403747870528), np.float64(0.4776931447225245)]","[np.float64(0.9724578667571542), np.float64(0.0), np.float64(0.5482625482625483), np.float64(0.39578713968957874)]","[np.float64(0.9336283185840708), np.float64(0.4782608695652174), np.float64(0.552)]","[np.float64(0.9292035398230089), np.float64(0.4937888198757764), np.float64(0.552)]","[np.float64(0.9724578667571542), np.float64(0.0), np.float64(0.3709677419354839), np.float64(0.0670926517571885), np.float64(0.0), np.float64(0.2681992337164751), np.float64(0.5688405797101449)]",0.33356980929937224,0.3210797248394924,0.30022985421756937
